galaxy,status,error,sep_masked_pixels,sep_masked_fraction,sep_truth_pixels,sep_toy_overlap_pixels,sep_toy_pixel_recall,sep_toy_associated_precision,sep_toy_f_score,sep_mean_per_toy_recall,sep_recovered_toys,sep_toy_count,sep_toy_detection_rate,sep_false_mask_fraction,sep_segments_raw,sep_segments_kept,sep_elapsed_seconds,mto_masked_pixels,mto_masked_fraction,mto_truth_pixels,mto_toy_overlap_pixels,mto_toy_pixel_recall,mto_toy_associated_precision,mto_toy_f_score,mto_mean_per_toy_recall,mto_recovered_toys,mto_toy_count,mto_toy_detection_rate,mto_false_mask_fraction,mto_segments_raw,mto_segments_kept,mto_elapsed_seconds,masked_fraction_difference_sep_minus_mto,toy_recall_difference_sep_minus_mto,f_score_difference_sep_minus_mto,comparison_elapsed_seconds
NGC3992,ok,,366184,0.07210892980710117,1221,693,0.5675675675675675,0.0018924912066065147,0.0037724037506294142,0.6666666666666666,4,6,0.6666666666666666,0.07198977345806616,2327,2326,1.0861773869999638,500900,0.09863719589162,1221,798,0.6535626535626535,0.0015931323617488522,0.0031785167320227594,0.8214893528010463,5,6,0.8333333333333334,0.09850373794683262,8015,5111,69.04615241199997,-0.02652826608451883,-0.08599508599508598,0.0005938870186066548,72.42414371500007
NGC4020,ok,,85187,0.0927062157467907,847,263,0.3105076741440378,0.0030873255308908635,0.006113861961550085,0.46891891891891896,3,6,0.5,0.09250526934954169,559,558,0.16188801100003047,60769,0.06613290789341947,847,278,0.3282172373081464,0.004574700916585759,0.009023630225915347,0.41624299458694364,2,6,0.3333333333333333,0.06589110555582788,803,626,1.48157724400005,0.026573307853371225,-0.0177095631641086,-0.0029097682643652615,2.164541972000052
NGC4064,ok,,113060,0.07950890976589668,676,56,0.08284023668639054,0.0004953122235980895,0.000984736582964057,0.10416755413560526,1,6,0.16666666666666666,0.07950732532049816,740,739,0.2529776069999343,105135,0.07393569103341188,676,126,0.1863905325443787,0.0011984591239834498,0.002381604937104838,0.2427033218785796,2,6,0.3333333333333333,0.07388220527220445,1383,1088,4.048895454999979,0.0055732187324848,-0.10355029585798817,-0.001396868354140781,5.17874464199997
NGC4102,ok,,74008,0.04115041910507513,842,177,0.21021377672209027,0.0023916333369365475,0.004729458917835672,0.16666666666666666,1,6,0.16666666666666666,0.041071230890843684,511,509,0.324725629999989,99098,0.05510112734399978,842,90,0.10688836104513064,0.0009081918908555168,0.0018010806483890335,0.2205453595482972,1,6,0.16666666666666666,0.05507687052919033,1476,1031,4.219780265000054,-0.01395070823892465,0.10332541567695963,0.0029283782694466383,11.344591201000071
NGC4116,ok,,158033,0.10606042302560757,804,804,1.0,0.005087545006422709,0.010123585814388335,1.0,6,6,1.0,0.10557780427927566,1029,1028,0.31556568099995275,151652,0.10177795316598078,804,761,0.9465174129353234,0.0050180676812702765,0.00998320826992706,0.8288888888888889,5,6,0.8333333333333334,0.10132189650448824,2712,1607,6.805784166999956,0.004282469859626797,0.05348258706467657,0.00014037754446127523,7.631872039999962
NGC4123,ok,,82617,0.05345067634187937,1654,1651,0.998186215235792,0.019983780577847176,0.039183111627962175,0.9981818181818182,6,6,1.0,0.052438643691054616,523,522,0.34372713599998406,97267,0.06292877901334569,1654,1327,0.8022974607013301,0.013642859345924106,0.026829490199249902,0.8209812409812409,5,6,0.8333333333333334,0.06213674228342489,1444,1006,3.7877844780000487,-0.009478102671466322,0.19588875453446186,0.012353621428712273,5.091694615000051
NGC4133,ok,,96838,0.0845032322019463,541,136,0.2513863216266174,0.0014044073607468142,0.0027932100350178167,0.16666666666666666,1,6,0.16666666666666666,0.0844244111584588,680,679,0.2172235540000429,116699,0.10183443167697527,541,240,0.4436229205175601,0.002056572892655464,0.004094165813715455,0.509009009009009,3,6,0.5,0.10167300054914019,1582,1139,2.8424884890000612,-0.017331199475028966,-0.1922365988909427,-0.001300955778697638,4.703626030999999
NGC4145,ok,,199189,0.06296945180674139,852,852,1.0,0.004277344632484726,0.008518253757979615,1.0,6,6,1.0,0.06271700208574973,1299,1299,0.5466921639999782,366307,0.11580032523368268,852,536,0.6291079812206573,0.0014632535004791064,0.0029197159813595746,0.5970996905412348,4,6,0.6666666666666666,0.11566203265102713,6763,3862,36.07134584800008,-0.05283087342694129,0.37089201877934275,0.00559853777662004,38.75319658199999
NGC4204,ok,,254922,0.06443403916513431,1766,1137,0.6438278595696489,0.004460187822157366,0.008859003926946331,0.8333333333333334,5,6,0.8333333333333334,0.06417529742254446,1747,1746,0.6456015349999689,387632,0.0979777950496989,1766,1136,0.6432616081540203,0.0029306146035415035,0.005834647327413085,0.832996632996633,5,6,0.8333333333333334,0.09773428592164132,6644,3973,43.882754213,-0.0335437558845646,0.0005662514156286047,0.0030243565995332466,45.53758948199993
NGC4214,ok,,240656,0.20364340403062572,1019,1019,1.0,0.004234259690180174,0.008432812661632358,1.0,6,6,1.0,0.20295612979395003,1691,1690,0.23720769800002017,136208,0.1152593776020688,1019,604,0.592737978410206,0.004434394455538588,0.008802932367537,0.8081302994691663,4,6,0.6666666666666666,0.11484730248074713,2275,1691,4.649122870999918,0.08838402642855693,0.40726202158979397,-0.0003701197059046424,5.361253698000041
NGC4293,ok,,193332,0.10039788996800054,1252,322,0.2571884984025559,0.0016655287277843297,0.003309624635119024,0.15377268385864376,1,6,0.16666666666666666,0.10029588350898927,1232,1230,0.433328060000008,124649,0.06473060117632519,1252,321,0.2563897763578275,0.0025752312493481696,0.005099244644601711,0.15686955515035744,1,6,0.16666666666666666,0.06460590956378227,1483,1235,6.938237315999913,0.035667288791675356,0.0007987220447284171,-0.0017896200094826868,8.33214378599996
NGC4294,ok,,467931,0.13166023274658983,424,224,0.5283018867924528,0.00047870305664724075,0.0009565393771818386,0.32653877712229057,2,6,0.3333333333333333,0.1316129079460702,3146,3144,0.6469810260000486,305861,0.08605912078512583,424,132,0.3113207547169811,0.0004315685883456864,0.0008619423086341152,0.16546982301844912,1,6,0.16666666666666666,0.08603224397634436,3607,3098,20.970702279999955,0.045601111961464005,0.2169811320754717,9.459706854772335e-05,52.93417203199999
NGC4303,ok,,231472,0.10491201734634309,1328,1318,0.9924698795180723,0.005693993225962536,0.011323024054982818,0.9965635738831615,6,6,1.0,0.10437747390495125,1399,1396,0.6084065200000168,169957,0.07703105227471328,1328,980,0.7379518072289156,0.005766164382755638,0.011442916776133344,0.8698796134902583,5,6,0.8333333333333334,0.07663300402355357,2154,1723,9.40744241799996,0.027880965071629807,0.2545180722891567,-0.00011989272115052636,10.98338663300001
NGC4314,ok,,90903,0.07697544742089954,1475,1347,0.9132203389830509,0.01481799280551797,0.029162787676719565,0.879472693032015,5,6,0.8333333333333334,0.07592966272701067,611,610,0.23576726600003894,76124,0.06446078742691172,1475,1126,0.7633898305084745,0.014791655719615365,0.02902099253856364,0.7734326242982039,5,6,0.8333333333333334,0.06358672612890645,1085,845,2.4849991090000003,0.01251465999398782,0.14983050847457635,0.00014179513815592432,3.2097465240000247
NGC4369,ok,,181989,0.11304528234144597,719,0,0.0,0.0,0.0,0.0,0,6,0.0,0.1130957929550734,1233,1232,0.3051429030000463,122482,0.07608158884188046,719,0,0.0,0.0,0.0,0.0,0,6,0.0,0.07611558342934628,1514,1258,5.039225995000038,0.036963693499565506,0.0,0.0,7.395743429999925
NGC4389,ok,,85352,0.047568570145137865,1367,1367,1.0,0.016016027743931016,0.03152711631822323,1.0,6,6,1.0,0.0468423979336582,511,510,0.3277179829999568,99952,0.05570547524541686,1367,1217,0.8902706656912948,0.012175844405314551,0.024023134851311207,0.9019731556973704,6,6,1.0,0.05506916901803587,1456,990,5.3509063730000435,-0.008136905100278993,0.10972933430870524,0.007503981466912026,6.448249720000035
NGC4405,ok,,136262,0.11468938536953242,571,0,0.0,0.0,0.0,0.0,0,6,0.0,0.1147445316940696,881,880,0.35618389900002967,110520,0.09302278603749192,571,102,0.1786339754816112,0.0009229098805646037,0.001836332376160085,0.17216346781564174,1,6,0.16666666666666666,0.09298162143954865,1437,1115,3.0885070069999756,0.0216665993320405,-0.1786339754816112,-0.001836332376160085,5.9452318549999745
NGC4424,ok,,421906,0.15560861688441974,1058,593,0.5604914933837429,0.0014055263494712092,0.002804021146007698,0.4615925237945877,3,6,0.5,0.15545056396595172,2782,2779,0.6013935209999772,256947,0.09476795135077719,1058,265,0.2504725897920605,0.0010313410936885817,0.0020542237553535787,0.171442746614174,0,6,0.0,0.094707169396407,2960,2528,13.13522376100002,0.06084066553364255,0.31001890359168244,0.0007497973906541193,15.16900306499997
NGC4449,ok,,135343,0.11459548706659328,1035,761,0.7352657004830918,0.005622751084282157,0.01116015779671208,0.6823178226796442,4,6,0.6666666666666666,0.11405109257085715,753,752,0.23152431500000148,106274,0.08998264256382033,1035,344,0.3323671497584541,0.0032369158966445225,0.00641139140239868,0.4935317206025262,2,6,0.3333333333333333,0.08977004529603437,1742,1248,3.464064828000005,0.024612844502772957,0.4028985507246377,0.0047487663943134,4.292650987000002
NGC4450,ok,,170290,0.08516101026993075,1096,1001,0.9133211678832117,0.005878207763227435,0.011681234173152998,0.8302469135802468,5,6,0.8333333333333334,0.08470684423735869,1083,1081,0.4009155979999832,131937,0.06598090441002909,1096,493,0.4498175182481752,0.003736631877335395,0.007411694842633031,0.5519861782414224,3,6,0.5,0.06577040701956641,1735,1354,5.966238964000013,0.019180105859901667,0.46350364963503654,0.004269539330519967,7.2110250019999285
NGC4457,ok,,139813,0.10770753728583754,1104,632,0.572463768115942,0.004520323575060974,0.008969819113378798,0.49374288964732654,3,6,0.5,0.10731193175509801,959,958,0.22253795400001763,118255,0.0910999322075681,1104,311,0.2817028985507246,0.0026299099403830706,0.0052111696646252054,0.4402830169850109,3,6,0.5,0.09093768890095114,1515,1223,3.3045245480000176,0.016607605078269444,0.2907608695652174,0.0037586494487535926,4.129504730999997
NGC4487,ok,,180414,0.06312393023037746,693,205,0.2958152958152958,0.0011362754553416031,0.0022638550691027955,0.3146586484182392,2,6,0.3333333333333333,0.06306749599898369,1229,1228,0.5503162730000213,364167,0.12741612236415062,693,325,0.468975468975469,0.0008924476957000497,0.0017815052348846133,0.7190173976192732,4,6,0.6666666666666666,0.1273332845710382,6782,3799,29.310069098999975,-0.06429219213377316,-0.17316017316017318,0.00048234983421818214,32.34788037999999
NGC4496A,ok,,113781,0.09171331016204853,1113,1037,0.9317160826594789,0.009113999701180337,0.018051421310077115,0.8229598893499309,5,6,0.8333333333333334,0.09095903761426959,720,719,0.20976388799999768,102391,0.08253238713671272,1113,593,0.5327942497753818,0.0057915246457208155,0.01145849435770598,0.6358690743354152,4,6,0.6666666666666666,0.08212807875414581,1322,1040,2.7579471170000716,0.00918092302533581,0.3989218328840971,0.006592926952371134,3.5861340199999177
NGC4498,ok,,158193,0.13587662337662337,1133,482,0.42541924095322153,0.003046911051690024,0.0060504876793492585,0.3333333333333333,2,6,0.3333333333333333,0.1355945755635552,1097,1096,0.19995781299996906,130678,0.11224318010032296,1133,311,0.2744924977934687,0.0023798956212981526,0.00471887778713461,0.2950059314792554,2,6,0.3333333333333333,0.11208513060277343,1717,1387,2.8921843699999954,0.023633443276300417,0.15092674315975285,0.0013316098922146486,4.736027828000033
