,SOURCE_ID,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot
810,66538324843647616,919750619,57.54832994108617,24.077105006251415,0.3843221007328203,0.026620425,14.437114,1.9343242210534934,0.032852866,-0.5579004101886282,0.020439051,31,,,0,0,1.0394924,4320.238,14.904314,820.6702,15.266844,725.73785,14.358893,1.2149806,0.9079504,,,,,,,NOT_AVAILABLE,167.18403127350402,-23.057228757121056,False,False,0,True,True,False,False,False,True,True,False,6705.524,4.0771,-0.6088,1688.0786,0.7159,0.3895
811,66538565361806720,1689959301,57.570363244892924,24.12223950776957,0.808034224707328,0.056426052,14.320232,3.180027753416481,0.06780017,-8.501531631484289,0.043368973,31,,,1,0,1.1361282,2269.2964,16.38773,169.18777,16.96706,290.00082,15.658468,1.2493194,1.3085918,,,,,,,NOT_AVAILABLE,167.1666884779132,-23.01046421260659,False,False,0,True,False,False,False,False,True,True,False,5074.9995,3.7295,-0.1299,2852.4236,0.5631,0.3007
812,68299566373693184,1580909173,55.901351573275434,24.4980410591485,1.5438398961542488,0.14997272,10.294138,0.7198173410307688,0.16455245,4.18107086074751,0.10647147,31,,,2,0,1.0031037,680.588,18.028307,38.92284,19.216877,110.52235,16.940672,1.3888996,2.276205,,,,,,,NOT_AVAILABLE,165.66441927026804,-23.754366998795245,False,False,0,False,False,False,False,False,True,True,False,3696.279,4.7879,-0.2838,480.8936,0.6436,0.3738
813,68299570670364032,794180709,55.89154397952138,24.491612017856387,0.7043153692493769,0.053492896,13.166522,-2.7287187436044116,0.05740942,-10.375091840351509,0.03859396,31,,,0,0,0.93708676,1934.06,16.187773,178.26898,16.710438,409.93802,15.515215,1.2301818,1.1952229,,,,,,,NOT_AVAILABLE,165.6617863682221,-23.765099169962717,False,False,0,True,False,False,False,False,True,True,False,5236.1753,4.5835,-0.4086,936.6157,0.4523,0.2431
814,68299570670364416,2766081,55.89887589261128,24.486083352561028,1.652213310888233,0.026809843,61.627117,14.469891230483672,0.028023947,-5.320630310609286,0.01970171,31,,,0,0,1.0547873,4315.29,14.748463,507.50684,15.290615,1127.3627,14.050867,1.2404525,1.239748,18.157576,7.1492934,15,4.505804,,,NOT_AVAILABLE,165.67124904761909,-23.764806752601977,False,False,0,True,True,False,False,False,True,True,False,5316.9253,4.4833,-0.0692,565.6804,0.5744,0.3068
815,68299742469057024,1781361228,55.868465222278864,24.49170550699238,1.1875290323986296,0.060508754,19.62574,7.892772594349239,0.06677085,0.8390978679157823,0.042945888,31,,,0,0,0.9615029,1715.4589,16.393063,143.10674,17.028105,270.9463,15.621261,1.2609701,1.4068441,,,,,,,NOT_AVAILABLE,165.64454843043367,-23.77896409715414,False,False,0,True,False,False,False,False,True,True,False,4512.7437,4.3993,-1.2208,878.3347,0.321,0.1726
816,66538702800756480,419321649,57.61674859185886,24.11980029889916,1.4468886029289671,0.066296995,21.824347,15.580949966258633,0.083735585,-21.143621038612793,0.053799804,31,,,0,0,1.0480813,1514.1594,16.795124,79.67493,17.671577,348.64392,15.880804,1.3006126,1.7907734,,,,,,,NOT_AVAILABLE,167.20219216223256,-22.983443838235925,False,False,0,True,False,False,False,False,True,True,False,4434.0103,4.6057,0.4592,720.2601,0.7105,0.376
817,66538805879968256,1561670798,57.62212248919661,24.13683215120197,1.6926041760296693,0.046701808,36.242798,-1.5619622190006295,0.059467304,7.7185736537965965,0.037565414,31,,,0,0,0.97004026,1362.4695,16.10987,148.61612,17.053757,465.5095,15.146873,1.3259354,1.9068832,,,,,,,VARIABLE,167.1935026524873,-22.967628209978244,False,False,0,True,False,False,True,False,True,True,False,3731.5676,4.0626,-0.7041,598.7845,0.2457,0.1348
818,68299776828793600,589685365,55.88196435645275,24.501342928418484,3.6620227087051664,0.072669216,50.39304,-15.461080376038344,0.08044748,-3.1626021024600885,0.053098757,31,,,0,0,1.0315624,1169.0234,16.695765,64.42086,17.945366,341.9323,15.600143,1.3840938,2.3452225,,,,,,,NOT_AVAILABLE,165.64760532372978,-23.763603401888115,False,False,0,True,False,False,False,False,True,True,False,3684.124,4.7213,-0.3065,282.3492,0.6104,0.3589
819,68299914267743872,872379383,55.90931520924271,24.52302949999259,0.4751051420461443,0.022792079,20.845186,2.963907962509922,0.023986174,-3.389157431443633,0.015775545,31,,,0,0,1.0255678,5168.563,14.24389,884.8868,14.918975,1530.3074,13.4492235,1.2645763,1.4697514,-16.496056,2.4145367,16,7.724572,,,NOT_AVAILABLE,165.65222344245947,-23.730865928354234,False,False,0,True,True,False,False,False,True,True,False,4823.5474,3.2771,-0.004,1533.0654,0.6557,0.3472
820,68300120426170880,1663719752,55.943672681996915,24.537077843028612,0.8426718697439054,0.028567305,29.497774,-0.06651859587508602,0.032600276,-11.492718919660376,0.021496817,31,,,0,0,1.0555216,3992.7236,14.955786,491.20703,15.386542,820.11145,14.356117,1.2189881,1.0304251,,,,,,,NOT_AVAILABLE,165.66757195910355,-23.699611269934163,False,False,0,True,True,False,False,False,True,True,False,5884.8687,3.9728,-0.5788,1457.132,0.5473,0.2976
821,68300154785908480,966211049,55.96316461838496,24.532922237762882,1.3667320616141283,0.059709482,22.889698,-2.4170289915129817,0.06841401,8.345632690487163,0.044793125,31,,,0,0,0.95542186,1840.8364,16.490892,101.90316,17.18974,343.64584,15.666984,1.2800388,1.5227556,,,,,,,NOT_AVAILABLE,165.68506456365668,-23.69094417930746,False,False,0,True,False,False,False,False,True,True,False,4537.9316,4.4879,-0.7499,773.1104,0.5379,0.2892
822,68300154785908864,172769635,55.95673083873326,24.53281787547553,0.8819878233705062,0.043108504,20.459717,2.8263659814040625,0.04655477,3.5784255483680187,0.031230083,31,,,0,3,0.9731035,2635.3376,15.7002945,311.48175,16.206059,596.4246,15.028826,1.2364266,1.1772327,,,,,,,NOT_AVAILABLE,165.68036144831962,-23.694909069112196,False,False,0,True,False,False,False,False,True,True,False,5511.621,4.5494,-0.5425,818.1627,0.6056,0.3279
823,68300326584600448,5732979,55.92983392964239,24.548798133876677,6.856196578912851,0.09720247,70.53521,18.700534150326316,0.11509207,-42.47265477404482,0.07633957,31,,,0,0,1.0279402,824.2234,17.220604,27.264023,19.123468,207.96187,15.943714,1.4901772,3.1797543,,,,,,,NOT_AVAILABLE,165.64879334135853,-23.699202447891235,False,False,0,True,False,False,False,False,True,True,False,3237.3313,4.9243,0.0351,147.1166,0.7243,0.4966
