GaiaDR3 RA_ICRS DE_ICRS dpgeo b_dpgeo B_dpgeo Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag Mass e_Mass logT e_logT logL e_logL logg e_logg Simbad x y z vx vy vz
70938810893886208 54.843464 26.193220 135.927 134.516 137.374 16.5763 0.0021 18.2577 0.0194 15.3339 0.0028 0.3033 0.0271 3.4956 0.0057 -1.9730 0.0638 4.8204 0.0218 Simbad 70.231098 99.719440 59.998134 0.0 0.0 0.0
68150861722174848 54.865973 23.894795 134.614 134.289 135.033 11.3050 0.0035 11.7579 0.0027 10.6925 0.0020 0.9169 0.0116 3.7260 0.0032 -0.3385 0.0233 4.5916 0.0073 Simbad 70.829327 100.652822 54.526548 0.0 0.0 0.0
68120728231661824 54.871768 23.499173 133.872 133.570 134.166 13.6594 0.0011 14.5543 0.0065 12.7218 0.0037 0.6064 0.0053 3.6009 0.0024 -1.1077 0.0131 4.6874 0.0072 Simbad 70.642552 100.408979 53.379561 0.0 0.0 0.0
68236795427794816 54.884730 24.266864 138.412 137.057 139.331 16.1234 0.0017 17.7885 0.0137 14.8831 0.0030 0.3599 0.0202 3.5075 0.0044 -1.8334 0.0504 4.8008 0.0194 Simbad 72.582865 103.216486 56.885561 0.0 0.0 0.0
68225834671270528 54.897854 24.118236 137.524 136.833 138.262 14.6860 0.0007 15.9030 0.0026 13.5902 0.0012 0.5103 0.0097 3.5537 0.0041 -1.3989 0.0293 4.7147 0.0128 Simbad 72.177775 102.690410 56.195192 0.0 0.0 0.0
68117635855255168 54.911296 23.388837 134.442 132.863 135.565 16.5987 0.0019 18.3370 0.0230 15.3405 0.0021 0.2946 0.0260 3.4938 0.0056 -1.9936 0.0611 4.8222 0.0222 Simbad 70.932965 100.969709 53.369317 0.0 0.0 0.0
68120418994061312 54.921396 23.473002 137.097 135.451 138.689 17.1771 0.0013 19.1237 0.0315 15.8756 0.0049 0.2236 0.0261 3.4774 0.0070 -2.1634 0.0649 4.8243 0.0283 Simbad 72.269596 102.910901 54.608052 0.0 0.0 0.0
65113559634339200 54.921665 23.290687 137.451 137.150 137.747 9.8106 0.0021 10.0839 0.0010 9.3727 0.0007 1.1942 0.0125 3.7970 0.0026 0.2377 0.0195 4.4186 0.0060 Simbad 72.555473 103.319018 54.347606 0.0 0.0 0.0
68174191984522368 54.928061 23.907550 136.352 135.396 137.411 16.2930 0.0012 18.0000 0.0118 15.0436 0.0035 0.3355 0.0194 3.5023 0.0041 -1.8948 0.0463 4.8108 0.0198 Simbad 71.626219 102.019973 55.258294 0.0 0.0 0.0
64734709159049600 54.930550 23.206913 137.438 135.331 139.923 17.3392 0.0011 19.1597 0.0319 16.0617 0.0044 0.2150 0.0350 3.4751 0.0097 -2.1849 0.0892 4.8229 0.0297 Simbad 72.578165 103.385416 54.157831 0.0 0.0 0.0
64600813554014592 54.934180 22.129201 139.721 138.830 140.532 15.5468 0.0006 16.9921 0.0082 14.3722 0.0026 0.4301 0.0130 3.5248 0.0038 -1.6429 0.0368 4.7616 0.0164 Simbad 74.358995 105.936426 52.632398 0.0 0.0 0.0
64656201452146304 54.936710 22.654103 130.985 129.671 132.304 16.7806 0.0014 18.5814 0.0220 15.4978 0.0027 0.2632 0.0249 3.4870 0.0057 -2.0680 0.0587 4.8261 0.0244 Simbad 69.442742 98.941719 50.451089 0.0 0.0 0.0
68175806892217216 54.943188 23.981232 136.599 135.854 137.451 15.5373 0.0006 16.9894 0.0148 14.3478 0.0034 0.4257 0.0127 3.5235 0.0036 -1.6556 0.0355 4.7643 0.0163 Simbad 71.688029 102.165358 55.518939 0.0 0.0 0.0
71161771235981312 54.950661 27.189359 136.488 135.734 137.330 15.7922 0.0007 17.3373 0.0130 14.5871 0.0045 0.3970 0.0137 3.5160 0.0034 -1.7357 0.0360 4.7816 0.0171 Simbad 69.721379 99.390178 62.365838 0.0 0.0 0.0
68145776480904064 54.952175 23.767596 130.313 128.838 131.774 17.2554 0.0017 19.1789 0.0511 15.9515 0.0045 0.2064 0.0228 3.4727 0.0068 -2.2072 0.0604 4.8210 0.0302 Simbad 68.486742 97.635649 52.519759 0.0 0.0 0.0
64720625961541120 54.957221 23.057154 134.535 133.263 135.939 16.8290 0.0017 18.6345 0.0236 15.5472 0.0026 0.2641 0.0248 3.4872 0.0057 -2.0659 0.0582 4.8260 0.0243 Simbad 71.077355 101.347846 52.690521 0.0 0.0 0.0
68145707761492608 54.961217 23.764403 139.762 136.431 143.189 17.7782 0.0010 19.7605 0.0548 16.4524 0.0087 0.1758 0.0287 3.4623 0.0126 -2.2983 0.1061 4.8098 0.0349 Simbad 73.437989 104.729366 56.320836 0.0 0.0 0.0
68593346433465856 54.963265 25.194662 142.251 141.907 142.528 8.7543 0.0007 8.9249 0.0025 8.4379 0.0016 1.4989 0.0159 3.8651 0.0033 0.7051 0.0191 4.3229 0.0037 Simbad 73.897315 105.392421 60.555541 0.0 0.0 0.0
68232603539842944 54.980117 24.214896 127.509 125.393 129.680 17.6866 0.0019 19.8210 0.0589 16.3554 0.0075 0.1676 0.0123 3.4579 0.0080 -2.3347 0.0681 4.8047 0.0326 Simbad 66.734219 95.235984 52.299113 0.0 0.0 0.0
70934649068656896 54.988184 26.116543 130.796 128.327 133.264 17.6383 0.0012 19.7120 0.0917 16.2868 0.0071 0.1725 0.0228 3.4607 0.0112 -2.3111 0.0941 4.8080 0.0343 Simbad 67.381688 96.188797 57.576197 0.0 0.0 0.0
70180216590377600 54.991109 25.924761 129.285 127.465 130.961 17.5929 0.0023 19.6560 0.0330 16.2685 0.0075 0.1745 0.0158 3.4617 0.0073 -2.3032 0.0609 4.8091 0.0326 Simbad 66.707331 95.236484 56.522176 0.0 0.0 0.0
