[I 2026-07-27 19:49:13,780] A new study created in RDB with name: sep-spike-gate-optimisation
[I 2026-07-27 20:03:45,297] Trial 37 finished with value: 40.29673296329404 and parameters: {'detect_thresh': 0.8324355492300458, 'minarea': 25, 'deblend_nthresh': 39, 'deblend_cont': 4.295054547296877e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 4, 'max_area': 3685, 'max_elongation': 29.863414851510456}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:04:38,841] Trial 38 finished with value: 32.47938344203648 and parameters: {'detect_thresh': 0.5810349062426056, 'minarea': 36, 'deblend_nthresh': 34, 'deblend_cont': 1.8612438830093168e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 6043, 'max_elongation': 27.57423760484358}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:04:56,381] Trial 39 finished with value: 23.415295851430358 and parameters: {'detect_thresh': 1.4669214823456065, 'minarea': 29, 'deblend_nthresh': 25, 'deblend_cont': 3.18727043158442e-05, 'back_size': 48, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 3868, 'max_elongation': 25.46258370306354}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:05:19,864] Trial 40 finished with value: 36.05785816118921 and parameters: {'detect_thresh': 1.1604445227575622, 'minarea': 22, 'deblend_nthresh': 39, 'deblend_cont': 5.86631492566208e-05, 'back_size': 16, 'filter_size': 7, 'dilation_radius': 4, 'max_area': 5496, 'max_elongation': 18.356490805610523}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:05:34,714] Trial 41 finished with value: 19.635284808763387 and parameters: {'detect_thresh': 1.6723517147182017, 'minarea': 41, 'deblend_nthresh': 46, 'deblend_cont': 1.1434621107858505e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 6512, 'max_elongation': 22.285929740442633}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:06:13,583] Trial 42 finished with value: 31.072301373922784 and parameters: {'detect_thresh': 0.6966603966146824, 'minarea': 40, 'deblend_nthresh': 51, 'deblend_cont': 1.690690933200076e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 5977, 'max_elongation': 25.042546547457825}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:06:29,490] Trial 43 finished with value: 19.370126311083503 and parameters: {'detect_thresh': 1.631423872932273, 'minarea': 32, 'deblend_nthresh': 58, 'deblend_cont': 1.0422673455619709e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 4841, 'max_elongation': 27.973488635215638}. Best is trial 43 with value: 19.370126311083503.
[I 2026-07-27 20:06:47,181] Trial 44 finished with value: 34.741478265631834 and parameters: {'detect_thresh': 1.6166133250548174, 'minarea': 31, 'deblend_nthresh': 60, 'deblend_cont': 0.004368875086101828, 'back_size': 96, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 4732, 'max_elongation': 28.12088341017652}. Best is trial 43 with value: 19.370126311083503.
[I 2026-07-27 20:07:00,268] Trial 45 finished with value: 21.920958179145064 and parameters: {'detect_thresh': 2.271782599612081, 'minarea': 33, 'deblend_nthresh': 57, 'deblend_cont': 2.9626985332205114e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 1, 'max_area': 4356, 'max_elongation': 23.298027892568083}. Best is trial 43 with value: 19.370126311083503.
[I 2026-07-27 20:07:15,850] Trial 46 finished with value: 30.72860265445415 and parameters: {'detect_thresh': 3.109224067139126, 'minarea': 48, 'deblend_nthresh': 57, 'deblend_cont': 1.7280983828397267e-05, 'back_size': 192, 'filter_size': 9, 'dilation_radius': 2, 'max_area': 6700, 'max_elongation': 22.21090206813316}. Best is trial 43 with value: 19.370126311083503.
[I 2026-07-27 20:07:31,909] Trial 47 finished with value: 23.099070651858458 and parameters: {'detect_thresh': 2.6691787163141436, 'minarea': 17, 'deblend_nthresh': 64, 'deblend_cont': 0.00012976997881243338, 'back_size': 128, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 5574, 'max_elongation': 16.825471115176406}. Best is trial 43 with value: 19.370126311083503.
[I 2026-07-27 20:07:51,103] Trial 48 finished with value: 25.32339030957435 and parameters: {'detect_thresh': 1.7227720939309263, 'minarea': 39, 'deblend_nthresh': 50, 'deblend_cont': 4.203163289653663e-05, 'back_size': 256, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 4112, 'max_elongation': 24.317117627117547}. Best is trial 43 with value: 19.370126311083503.
[I 2026-07-27 20:08:16,496] Trial 49 finished with value: 39.36020019949436 and parameters: {'detect_thresh': 0.9882997277347179, 'minarea': 35, 'deblend_nthresh': 16, 'deblend_cont': 1.4886988755249708e-05, 'back_size': 64, 'filter_size': 5, 'dilation_radius': 3, 'max_area': 7552, 'max_elongation': 6.174383679938824}. Best is trial 43 with value: 19.370126311083503.
[I 2026-07-27 20:08:31,829] Trial 50 finished with value: 35.612175497564664 and parameters: {'detect_thresh': 2.1634609073414386, 'minarea': 28, 'deblend_nthresh': 54, 'deblend_cont': 0.09262038941368393, 'back_size': 24, 'filter_size': 7, 'dilation_radius': 3, 'max_area': 4992, 'max_elongation': 18.79527775125464}. Best is trial 43 with value: 19.370126311083503.
[I 2026-07-27 20:08:50,353] Trial 51 finished with value: 19.23693109720083 and parameters: {'detect_thresh': 1.2690080982918828, 'minarea': 38, 'deblend_nthresh': 45, 'deblend_cont': 1.0429731716760565e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 4, 'max_area': 6311, 'max_elongation': 26.618834457420657}. Best is trial 51 with value: 19.23693109720083.
[I 2026-07-27 20:09:07,324] Trial 52 finished with value: 20.41920577475101 and parameters: {'detect_thresh': 1.3292955906228052, 'minarea': 38, 'deblend_nthresh': 45, 'deblend_cont': 1.3934808051281307e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 1, 'max_area': 5765, 'max_elongation': 25.719092753872857}. Best is trial 51 with value: 19.23693109720083.
[I 2026-07-27 20:10:24,181] Trial 53 finished with value: 36.06049654624685 and parameters: {'detect_thresh': 0.4555193172063059, 'minarea': 42, 'deblend_nthresh': 49, 'deblend_cont': 2.3170735967427375e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 7302, 'max_elongation': 29.400871821143447}. Best is trial 51 with value: 19.23693109720083.
[I 2026-07-27 20:10:57,576] Trial 54 finished with value: 19.15381450053649 and parameters: {'detect_thresh': 0.8044600709163064, 'minarea': 32, 'deblend_nthresh': 43, 'deblend_cont': 1.2846966216709388e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 6523, 'max_elongation': 28.51285051318876}. Best is trial 54 with value: 19.15381450053649.
[I 2026-07-27 20:11:32,127] Trial 55 finished with value: 19.36018834667264 and parameters: {'detect_thresh': 0.8133775450911171, 'minarea': 32, 'deblend_nthresh': 55, 'deblend_cont': 1.1355446217572395e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 6828, 'max_elongation': 28.74290321280813}. Best is trial 54 with value: 19.15381450053649.
[I 2026-07-27 20:11:44,241] Trial 56 finished with value: 22.912390695151075 and parameters: {'detect_thresh': 4.912962481116694, 'minarea': 26, 'deblend_nthresh': 55, 'deblend_cont': 1.0344906883268957e-05, 'back_size': 48, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 7740, 'max_elongation': 28.38508511441645}. Best is trial 54 with value: 19.15381450053649.
[I 2026-07-27 20:12:13,629] Trial 57 finished with value: 19.541926267867716 and parameters: {'detect_thresh': 0.8221081052237512, 'minarea': 33, 'deblend_nthresh': 60, 'deblend_cont': 1.3109210004586843e-05, 'back_size': 32, 'filter_size': 3, 'dilation_radius': 1, 'max_area': 6871, 'max_elongation': 28.98313023975001}. Best is trial 54 with value: 19.15381450053649.
[I 2026-07-27 20:12:33,357] Trial 58 finished with value: 1000000.0 and parameters: {'detect_thresh': 0.6782133702631956, 'minarea': 31, 'deblend_nthresh': 60, 'deblend_cont': 3.768486616147219e-05, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 1, 'max_area': 7042, 'max_elongation': 29.974314864293074}. Best is trial 54 with value: 19.15381450053649.
[I 2026-07-27 20:13:09,995] Trial 59 finished with value: 21.113466477107856 and parameters: {'detect_thresh': 0.8362290279623146, 'minarea': 33, 'deblend_nthresh': 61, 'deblend_cont': 2.1391128184468122e-05, 'back_size': 128, 'filter_size': 3, 'dilation_radius': 1, 'max_area': 6711, 'max_elongation': 28.951895805625675}. Best is trial 54 with value: 19.15381450053649.
[I 2026-07-27 20:16:20,444] Trial 60 finished with value: 34.32190881479525 and parameters: {'detect_thresh': 0.20572868928761057, 'minarea': 24, 'deblend_nthresh': 56, 'deblend_cont': 1.2586086048160033e-05, 'back_size': 32, 'filter_size': 3, 'dilation_radius': 0, 'max_area': 7997, 'max_elongation': 27.331960872576033}. Best is trial 54 with value: 19.15381450053649.
[I 2026-07-27 20:17:31,432] Trial 61 finished with value: 34.94882234062499 and parameters: {'detect_thresh': 0.4284704454229818, 'minarea': 34, 'deblend_nthresh': 62, 'deblend_cont': 1.3020767419164436e-05, 'back_size': 32, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 6268, 'max_elongation': 28.839812032247707}. Best is trial 54 with value: 19.15381450053649.
[I 2026-07-27 20:17:48,621] Trial 62 finished with value: 19.571553713618922 and parameters: {'detect_thresh': 1.346776062039571, 'minarea': 38, 'deblend_nthresh': 44, 'deblend_cont': 1.006074324410126e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 7274, 'max_elongation': 24.010687663988776}. Best is trial 54 with value: 19.15381450053649.
[I 2026-07-27 20:18:13,946] Trial 63 finished with value: 18.955273310884383 and parameters: {'detect_thresh': 1.0023459569168256, 'minarea': 31, 'deblend_nthresh': 58, 'deblend_cont': 2.090020505068945e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 7320, 'max_elongation': 24.246303128221246}. Best is trial 63 with value: 18.955273310884383.
[I 2026-07-27 20:18:46,905] Trial 64 finished with value: 31.38438122805911 and parameters: {'detect_thresh': 0.7739924151297836, 'minarea': 28, 'deblend_nthresh': 62, 'deblend_cont': 2.467644534237076e-05, 'back_size': 32, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 6990, 'max_elongation': 27.09366812998653}. Best is trial 63 with value: 18.955273310884383.
[I 2026-07-27 20:19:17,474] Trial 65 finished with value: 28.503318405147212 and parameters: {'detect_thresh': 0.9937625930716925, 'minarea': 31, 'deblend_nthresh': 58, 'deblend_cont': 5.237742274623638e-05, 'back_size': 96, 'filter_size': 9, 'dilation_radius': 1, 'max_area': 7520, 'max_elongation': 28.24270899301409}. Best is trial 63 with value: 18.955273310884383.
[I 2026-07-27 20:19:45,831] Trial 66 finished with value: 18.471508577219353 and parameters: {'detect_thresh': 0.9371368329775688, 'minarea': 32, 'deblend_nthresh': 59, 'deblend_cont': 1.758789958558598e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 7771, 'max_elongation': 25.521507447141303}. Best is trial 66 with value: 18.471508577219353.
[I 2026-07-27 20:20:57,651] Trial 67 finished with value: 36.88632238209012 and parameters: {'detect_thresh': 0.5655391319396914, 'minarea': 22, 'deblend_nthresh': 53, 'deblend_cont': 3.251391423425555e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 7708, 'max_elongation': 25.101537663251413}. Best is trial 66 with value: 18.471508577219353.
[I 2026-07-27 20:21:21,938] Trial 68 finished with value: 19.676706564654403 and parameters: {'detect_thresh': 1.0362995791050913, 'minarea': 29, 'deblend_nthresh': 51, 'deblend_cont': 2.1165852813857268e-05, 'back_size': 24, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 7282, 'max_elongation': 26.10863098982156}. Best is trial 66 with value: 18.471508577219353.
[I 2026-07-27 20:21:42,131] Trial 69 finished with value: 31.707799104924213 and parameters: {'detect_thresh': 1.2912595377137968, 'minarea': 32, 'deblend_nthresh': 55, 'deblend_cont': 0.002205051960883487, 'back_size': 64, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 2303, 'max_elongation': 23.71874799090541}. Best is trial 66 with value: 18.471508577219353.
[I 2026-07-27 20:22:00,804] Trial 70 finished with value: 21.395093164747983 and parameters: {'detect_thresh': 1.458617283667549, 'minarea': 18, 'deblend_nthresh': 58, 'deblend_cont': 7.275152629263135e-05, 'back_size': 16, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 7697, 'max_elongation': 24.51415914508815}. Best is trial 66 with value: 18.471508577219353.
[I 2026-07-27 20:23:15,908] Trial 71 finished with value: 41.149694593248725 and parameters: {'detect_thresh': 0.3542602470430326, 'minarea': 34, 'deblend_nthresh': 59, 'deblend_cont': 1.5788906327993533e-05, 'back_size': 32, 'filter_size': 7, 'dilation_radius': 1, 'max_area': 6812, 'max_elongation': 27.85872891997717}. Best is trial 66 with value: 18.471508577219353.
[I 2026-07-27 20:23:55,008] Trial 72 finished with value: 19.327605190284732 and parameters: {'detect_thresh': 0.7568548426279351, 'minarea': 30, 'deblend_nthresh': 63, 'deblend_cont': 1.822228790793995e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 0, 'max_area': 7136, 'max_elongation': 26.82759867542935}. Best is trial 66 with value: 18.471508577219353.
[I 2026-07-27 20:24:24,322] Trial 73 finished with value: 20.61698388744178 and parameters: {'detect_thresh': 0.9135174825339647, 'minarea': 27, 'deblend_nthresh': 63, 'deblend_cont': 1.7611119021523385e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 0, 'max_area': 7448, 'max_elongation': 26.06176715280018}. Best is trial 66 with value: 18.471508577219353.
