name,status,png,raw_segments,kept_segments,masked_fraction,background_level,background_rms,error
NGC3504,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3504_sep_thr2.5_area15_deb0.0001_dil2.png,1089,1086,0.056757010075763496,0.05412112548947334,0.009994040243327618,
NGC3627,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3627_sep_thr2.5_area15_deb0.0001_dil2.png,1313,1306,0.04598408924534047,0.05824664607644081,0.011618133634328842,
NGC3673,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3673_sep_thr2.5_area15_deb0.0001_dil2.png,1447,1445,0.044356908632770704,0.03140127286314964,0.022404301911592484,
NGC3681,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3681_sep_thr2.5_area15_deb0.0001_dil2.png,285,284,0.03239348543787532,0.11756326258182526,0.01584184728562832,
NGC3684,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3684_sep_thr2.5_area15_deb0.0001_dil2.png,396,395,0.027244161197728968,0.14066225290298462,0.01694820076227188,
NGC3726,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3726_sep_thr2.5_area15_deb0.0001_dil2.png,506,504,0.09543010752688172,0.012202526442706585,0.012145185843110085,
NGC3729,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3729_sep_thr2.5_area15_deb0.0001_dil2.png,257,255,0.028449927672884526,0.01238054409623146,0.025087524205446243,
NGC3850,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3850_sep_thr2.5_area15_deb0.0001_dil2.png,366,365,0.03797424793708193,0.022252997383475304,0.016026008874177933,
NGC3930,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3930_sep_thr2.5_area15_deb0.0001_dil2.png,401,400,0.027011528907396307,0.06761021167039871,0.01733887940645218,
NGC3953,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3953_sep_thr2.5_area15_deb0.0001_dil2.png,942,941,0.051839675408527,0.0070750415325164795,0.01179554034024477,
