rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
67,NGC4496A,ok,54.64342134229597,54.089119370354446,12,226,0.02217207887766114,0.024928197632610078,57.38653048603109,6.695095223370294,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4496A.phot.1.fits,
68,UGC04499,ok,55.36374863907207,55.187897519654086,13,175,0.007034044776719321,0.012021176025101043,89.5999984741211,10.453333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC04499.phot.1.fits,
69,NGC3447,ok,55.58655573861765,55.25783018231286,9,195,0.013149022252191504,0.0145095054433741,69.19999694824219,8.073332977294921,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3447.phot.1.fits,
70,NGC4133,ok,57.84284231974239,57.159597213254635,7,222,0.027329804259510034,0.025459926646099074,51.20000076293945,5.973333422342935,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4133.phot.1.fits,
71,NGC1367,ok,57.861002238960936,57.646594005684776,15,245,0.008576329331046312,0.015789124651559634,96.0,11.2,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1367.phot.1.fits,
72,UGC05832,ok,58.20165193805948,57.710832087123286,12,216,0.019632794037447738,0.014797474636314424,59.599998474121094,6.953333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC05832.phot.1.fits,
73,NGC4294,ok,58.60702724429008,57.05354009169438,12,237,0.062139486103828,0.04497699902950671,35.06954744759946,4.091447202219937,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4294.phot.1.fits,
74,NGC4145,ok,58.749841836304824,58.33324425713056,12,201,0.016663903166970653,0.01960737936119784,62.400001525878906,7.280000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4145.phot.1.fits,
75,UGC05393,ok,61.613828585437574,61.35519893270312,15,199,0.010345186109378249,0.011893318340094166,78.80000305175781,9.193333689371745,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC05393.phot.1.fits,
76,NGC0255,ok,63.110556064836835,62.47536656663654,12,240,0.025407579928011858,0.023156955223997144,55.20000076293945,6.440000089009603,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0255.phot.1.fits,
77,UGC09245,ok,63.97190278761307,63.67088703778426,13,211,0.012040629993152249,0.011843339334013098,75.19999694824219,8.77333297729492,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09245.phot.1.fits,
78,UGC06682,ok,64.75311756705655,64.52603332867734,14,230,0.009083369535168436,0.010892820232316027,90.4000015258789,10.546666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC06682.phot.1.fits,
79,ESO443-085,ok,65.20161592668687,64.80651517599544,17,240,0.015804030027657054,0.013769317460056335,70.0,8.166666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO443-085.phot.1.fits,
80,ESO013-016,ok,66.20502925272547,65.73608466991102,14,241,0.018757783312577832,0.016889658028020647,64.4000015258789,7.513333511352538,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO013-016.phot.1.fits,
81,UGC05354,ok,67.9412146277467,67.39817956213768,9,293,0.021721402624360592,0.012876353808230474,66.0,7.699999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC05354.phot.1.fits,
82,NGC5068,ok,68.08065094997892,67.79654752752373,16,258,0.011364136898207285,0.03693972517057864,85.58931769987672,9.98542039831895,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5068.phot.1.fits,
83,UGC07612,ok,70.94791115218318,70.69353948324076,16,231,0.01017486675769722,0.01209155605894656,85.5999984741211,9.98666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07612.phot.1.fits,
84,IC2007,ok,72.56440067315026,71.6647927201959,9,257,0.03598431811817418,0.017704811562094906,48.0,5.6,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC2007.phot.1.fits,
85,NGC3953,ok,74.43345266588882,73.91659939890226,16,349,0.020674130679462117,0.051430262623718505,73.81771870427286,8.612067182165168,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3953.phot.1.fits,
86,NGC0600,ok,75.33657809717226,75.02472279803106,17,260,0.012474211965647939,0.015304623091303014,82.0,9.566666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0600.phot.1.fits,
87,NGC1800,ok,75.76034258623937,74.1817343388167,8,294,0.06314432989690721,0.017943195149257525,38.7481712566734,4.52061997994523,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1800.phot.1.fits,
88,UGC06983,ok,78.04088028411783,77.80532036958492,18,269,0.009422396581316333,0.012494953701721642,96.0,11.2,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC06983.phot.1.fits,
89,NGC0685,ok,81.26899516156024,80.88825864650906,20,299,0.015229460602047573,0.01927860030903533,79.5999984741211,9.28666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0685.phot.1.fits,
90,PGC051523,ok,81.72028598701033,81.27299683038382,14,297,0.017891566265060242,0.012531265463445575,73.19999694824219,8.539999643961588,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC051523.phot.1.fits,
