designation,parallax,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 64103009666497024,7.430605491985016,0.4439,0.4383,0.4487,Gaia DR3 64103009666497024,57.849313048424804,22.841272958150647,7.4306,19.6418,-44.989,8.1789,2016.0,0.0
Gaia DR3 64104933811828480,7.315539042944565,0.622,0.6161,0.6284,Gaia DR3 64104933811828480,57.96086681799793,22.89551471851388,7.3155,18.2409,-44.8732,0.0,2016.0,7.447622310302974E-15
Gaia DR3 64109915973846528,7.295865291844413,0.1659,0.1602,0.1712,Gaia DR3 64109915973846528,57.409171523077866,22.53328562479943,7.2959,18.2184,-44.5688,0.0,2016.0,7.462871867107482E-15
Gaia DR3 64114245300877184,7.455976057919426,0.4848,0.4804,0.4909,Gaia DR3 64114245300877184,57.29700152037766,22.609258005731753,7.456,21.0572,-47.3095,5.3181,2016.0,3.552713678800501E-15
Gaia DR3 64117062799542016,7.159865534412515,0.6595,0.6513,0.6677,Gaia DR3 64117062799542016,57.591906954505056,22.62549947941777,7.1599,18.443,-42.4443,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64117784354039040,6.984690129678826,0.5324,0.5152,0.5503,Gaia DR3 64117784354039040,57.60500935965606,22.675354364650342,6.9847,17.9061,-43.8248,0.0,2016.0,0.0
Gaia DR3 64128294135554688,7.267997117214958,0.6334,0.6211,0.6432,Gaia DR3 64128294135554688,57.02388607490692,22.635778085249903,7.268,19.4822,-45.4455,0.0,2016.0,6.558096755016304E-15
Gaia DR3 64129294866302336,7.334420448765222,0.6791,0.6642,0.6952,Gaia DR3 64129294866302336,56.97574688018189,22.656941491685657,7.3344,21.157,-46.7833,0.0,2016.0,6.557086196501867E-15
Gaia DR3 64136063734692224,7.470198853658967,0.6152,0.604,0.6274,Gaia DR3 64136063734692224,57.361046520859134,22.848352698939507,7.4702,19.0374,-45.8792,0.0,2016.0,1.35691579512869E-14
Gaia DR3 64157023175179776,7.370749551185829,0.7518,0.7346,0.7687,Gaia DR3 64157023175179776,57.83246207983878,23.067645295503368,7.3707,19.2327,-43.4137,0.0,2016.0,6.537298005334648E-15
Gaia DR3 64160940185240064,7.173085965990723,0.7419,0.7289,0.7566,Gaia DR3 64160940185240064,57.57335850579678,22.932883365855528,7.1731,18.9712,-42.7727,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64163242287720448,7.353422098732257,0.8229,0.7936,0.8404,Gaia DR3 64163242287720448,57.421773552617374,22.944500325032784,7.3534,19.5129,-44.8561,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64168705486089216,7.249398579166355,0.6524,0.6396,0.6653,Gaia DR3 64168705486089216,57.6160313902337,23.06512486371312,7.2494,18.2654,-44.0968,0.0,2016.0,0.0
Gaia DR3 64174546641593984,7.301312904999704,0.5714,0.566,0.5766,Gaia DR3 64174546641593984,57.66222912452411,23.21722758953147,7.3013,18.2649,-45.3765,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64215125490886656,7.335249178807896,0.8309,0.8196,0.842,Gaia DR3 64215125490886656,55.2058631607871,21.21523008243146,7.3352,20.5628,-43.7686,0.0,2016.0,7.516482227294657E-15
Gaia DR3 64232271000313472,7.171304722852725,1.213,1.1932,1.234,Gaia DR3 64232271000313472,55.15764956916067,21.40611667943829,7.1713,19.8494,-44.2826,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64250477365329536,7.482267098947411,0.2929,0.2888,0.2973,Gaia DR3 64250477365329536,54.53675116931428,21.246791939181502,7.4823,20.7912,-45.2678,36.1179,2016.0,3.552713678800501E-15
Gaia DR3 64259518272776576,7.499861696290614,0.6881,0.6739,0.7006,Gaia DR3 64259518272776576,54.764638768320864,21.42208398595951,7.4999,21.5101,-45.6266,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64272128296706432,7.404830067593029,0.1331,0.1283,0.1387,Gaia DR3 64272128296706432,54.301389030023266,21.46795287013027,7.4048,21.3956,-45.1554,6.1359,2016.0,1.5012865645099704E-14
Gaia DR3 64276315888567424,7.363461148744048,0.2645,0.2566,0.2727,Gaia DR3 64276315888567424,54.62432671280883,21.56488406650005,7.3635,19.5297,-45.2109,6.2814,2016.0,0.0
Gaia DR3 64331123967672448,7.450155858497535,0.9482,0.9378,0.9582,Gaia DR3 64331123967672448,55.63799159070933,21.704494346750018,7.4502,20.5387,-45.7229,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64346276612274816,7.60031218737857,0.7687,0.7437,0.7844,Gaia DR3 64346276612274816,55.684889188557875,21.853444783997144,7.6003,20.813,-46.6069,0.0,2016.0,7.490893320893794E-15
Gaia DR3 64387439578878208,7.241694888294129,0.7995,0.7626,0.8374,Gaia DR3 64387439578878208,55.19923341453408,21.722581796415753,7.2417,20.9159,-45.342,0.0,2016.0,0.0
Gaia DR3 64401389632616960,7.300314696756316,1.1554,1.1431,1.17,Gaia DR3 64401389632616960,55.34784133301275,22.031509901246583,7.3003,19.5048,-44.1429,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64430939007563520,7.592745502178547,0.6812,0.6641,0.6955,Gaia DR3 64430939007563520,55.544263544796216,22.301387062127162,7.5927,21.5597,-49.0452,0.0,2016.0,6.573945170885006E-15
Gaia DR3 64433924008996224,7.3240443819797765,0.8473,0.8185,0.8664,Gaia DR3 64433924008996224,55.77717985381962,22.296885504686884,7.324,21.3364,-45.5237,0.0,2016.0,0.0
Gaia DR3 64438841747360768,7.451832197267993,0.4816,0.4729,0.4884,Gaia DR3 64438841747360768,55.749067726136026,22.424067531711877,7.4518,21.4074,-44.3903,7.3612,2016.0,6.5681567243900405E-15
