rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
104,NGC0701,ok,4.60176290796936,4.598978192865137,36,36,0.0009129177866815439,0.0001113886041689115,0.01444891147334104,112.1940961891383,6.2533331553141265,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0701.phot.1.fits,
105,NGC4540,ok,4.602201032319601,4.600486918712116,32,32,0.0008525149190110827,6.856454429939398e-05,0.014510156349294548,109.6402467675224,8.446666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4540.phot.1.fits,
106,ESO440-044,ok,4.613678568462562,4.608213980444731,33,33,0.0009407874105539242,0.0002185835207132154,0.012452174301831456,106.4000015258789,12.413333511352539,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO440-044.phot.1.fits,
107,NGC6217,ok,4.631125329183668,4.628315143726034,54,54,0.0009313235141940602,0.00011240741830532886,0.013324751761004014,136.8000030517578,15.96000035603841,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6217.phot.1.fits,
108,NGC1255,ok,4.643339582664077,4.640919143621915,101,101,0.0007883788277353233,9.68175616864971e-05,0.01363481453619419,202.28794584872134,11.666666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1255.phot.1.fits,
109,UGC06682,ok,4.66227719316707,4.65957251998802,14,14,0.0005529007543146005,0.00010818692716201892,0.011169230056882418,90.4000015258789,10.546666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC06682.phot.1.fits,
110,ESO479-004,ok,4.678238163296208,4.675429608163318,34,34,0.000593357882061395,0.00011234220531559523,0.013706226500535807,135.50958159454217,11.153333155314126,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO479-004.phot.1.fits,
111,NGC3930,ok,4.692489932225054,4.690618360383359,34,34,0.000618778095255428,7.486287366776758e-05,0.013411938753960918,133.0362529899405,14.466666666666667,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3930.phot.1.fits,
112,NGC3992,ok,4.744820242399661,4.742630497397556,326,326,0.000639678512492372,8.758980008418772e-05,0.011875954276362738,403.6175151244191,25.99333368937174,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3992.phot.1.fits,
113,NGC4900,ok,4.772249840945345,4.770663215436096,37,37,0.0010435469314079423,6.346502036993078e-05,0.018375615810670477,106.40695229913561,6.159999910990396,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4900.phot.1.fits,
114,NGC3359,ok,4.9229845620507025,4.920829004904294,93,93,0.0007193076084182193,8.622228585631921e-05,0.013083204328838872,203.6901389020564,18.38666737874349,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3359.phot.1.fits,
