evaluation,image,truth_pixels,incremental_pixels,overlap_pixels,masked_fraction,recall,precision,f_score,mean_toy_recall,recovered_toys,toy_count,false_positive_fraction,segments
13,IC4901,768,64586,321,0.022557089490727936,0.41796875,0.004970117362895984,0.0098234232028644,0.2993966817496229,2,6,0.02245100012017652,407
13,NGC0986,1256,62828,406,0.033244808210559626,0.3232484076433121,0.006462086967594066,0.012670869483802508,0.36577957267612443,2,6,0.033051943685358964,394
13,NGC0289,1142,47410,341,0.013125779351800787,0.29859894921190894,0.0071925754060324825,0.014046795188663702,0.20960596561831038,1,6,0.013035492631342233,309
13,IC1954,832,26513,515,0.025672880653495028,0.6189903846153846,0.019424433296873232,0.03766684951545072,0.537645598013298,3,6,0.025194497098533566,154
13,NGC0578,838,51290,235,0.02442913740234775,0.28042959427207637,0.0045817898225775,0.009016267648864332,0.3327770287268,1,6,0.024326917945551158,261
13,NGC3992,1064,111371,820,0.021931170180965482,0.7706766917293233,0.007362778461179302,0.014586205363098681,0.7504314631560964,6,6,0.02177425803729736,609
13,NGC3359,1624,54389,1352,0.01798972459901096,0.8325123152709359,0.024857967603743404,0.048274507703568816,0.5867316680857823,4,6,0.01755196472993961,323
14,NGC1097,1064,205879,581,0.0596717688962727,0.5460526315789473,0.00282204595903419,0.00561507274950107,0.4995943407348508,4,6,0.059521728251815606,1283
14,NGC4133,530,44292,79,0.03865029390000419,0.1490566037735849,0.001783617809085162,0.0035250546606577123,0.13573883161512026,1,6,0.03859920833777123,287
14,IC4901,768,99035,323,0.034588631556594945,0.4205729166666667,0.0032614732165396074,0.006472751320100598,0.3009049773755656,2,6,0.034485071560925305,648
14,NGC0986,1256,97306,607,0.05148849729000947,0.48328025477707004,0.006238053151912524,0.012317120188307867,0.4334563403528921,2,6,0.05120133770834845,640
14,NGC0289,1142,83605,510,0.02314661005499483,0.44658493870402804,0.00610011362956761,0.012035824276965557,0.27424552699133636,1,6,0.023012689035275508,559
14,IC1954,832,40173,493,0.03890003524659057,0.5925480769230769,0.012271923929007044,0.024045848067308865,0.5275999359128415,3,6,0.03845363662088668,244
14,NGC0578,838,75397,213,0.0359111653874988,0.2541766109785203,0.002825046089366951,0.005587984521545222,0.3125192018391389,1,6,0.03582401329582447,394
14,NGC3992,1064,165508,837,0.03259182475070921,0.7866541353383458,0.005057157357952486,0.01004970823427707,0.7601680038204721,6,6,0.032433798384996916,948
14,NGC3359,1624,84899,1352,0.02808122283423912,0.8325123152709359,0.01592480476801847,0.03125180587820579,0.5867316680857823,4,6,0.027648886575263765,516
15,NGC1097,1064,210576,578,0.06103314280281874,0.543233082706767,0.002744852214877289,0.0054621054621054625,0.4901236512087596,3,6,0.060884391905545954,1468
15,NGC4133,530,45294,79,0.03952466386495958,0.1490566037735849,0.001744160374442531,0.003447974860335196,0.13573883161512026,1,6,0.039473982878165385,337
15,IC4901,768,106028,414,0.03703098325523955,0.5390625,0.003904628965933527,0.007753099367017491,0.4591904961826126,3,6,0.03689628766346103,764
15,NGC0986,1256,104095,606,0.055080828781406445,0.482484076433121,0.005821605264421922,0.011504399578551698,0.4331196400161918,2,6,0.0547965877423683,768
15,NGC0289,1142,84422,446,0.023372802034122044,0.3905429071803853,0.005282983108668356,0.01042494507035669,0.2165530791428747,1,6,0.023256676989304965,641
15,IC1954,832,40120,393,0.0388487146614197,0.4723557692307692,0.009795613160518444,0.019193201797226018,0.4481436290242395,3,6,0.0384991840231342,274
15,NGC0578,838,76406,238,0.03639174639040324,0.2840095465393795,0.003114938617386069,0.00616229092227228,0.3567901648685062,1,6,0.03629287407847891,455
15,NGC3992,1064,163424,814,0.03218144360429648,0.7650375939849624,0.00498090855688271,0.00989737853217256,0.746995037039258,6,6,0.03202786134403962,1045
15,NGC3359,1624,86039,1397,0.028458289631622277,0.8602216748768473,0.016236822836155698,0.03187205548521041,0.7533983347524488,5,6,0.028011263809633806,575
16,NGC1097,1064,193601,807,0.05611312533132224,0.7584586466165414,0.004168366898931308,0.008291166876428738,0.6280130406520384,5,6,0.05589646307601895,1264
16,NGC4133,530,30045,84,0.02621800957792888,0.15849056603773584,0.002795806290564154,0.005494685200327065,0.17542137129765997,1,6,0.026156806391965343,232
16,IC4901,768,100421,393,0.035072701262632615,0.51171875,0.003913524063691857,0.007767642727964503,0.45613545734416,3,6,0.03494481661901528,671
16,NGC0986,1256,91857,793,0.04860521340480956,0.6313694267515924,0.008632983877113339,0.01703306734827575,0.6270641641130815,3,6,0.048217650824445374,661
16,NGC0289,1142,64584,385,0.017880517478521454,0.3371278458844133,0.005961228787315744,0.011715302924261326,0.32404371584699454,2,6,0.017779548990621005,484
16,IC1954,832,30567,83,0.029598421262602592,0.09975961538461539,0.002715346615631236,0.0052867925730118795,0.1714289346554793,1,6,0.02954185127900982,216
16,NGC0578,838,47408,234,0.022580162721203004,0.27923627684964203,0.004935875801552481,0.009700286034075365,0.3478815487746176,1,6,0.022477681464370392,258
16,NGC3992,1064,140869,814,0.02773991445010305,0.7650375939849624,0.005778418246739879,0.01147020072851275,0.746995037039258,6,6,0.027585401393145987,861
16,NGC3359,1624,57223,1351,0.018927099426891546,0.8318965517241379,0.023609387833563426,0.04591567964382211,0.5862725312630089,4,6,0.018490174281938755,385
17,NGC1097,1064,213493,593,0.06187860324254512,0.5573308270676691,0.0027776086335383364,0.005527668638170742,0.5058979927419376,4,6,0.061725764229615204,1384
17,NGC4133,530,32960,82,0.028761710623682338,0.15471698113207547,0.002487864077669903,0.004896984174380412,0.15954835542464407,1,6,0.02870343047812278,238
17,IC4901,768,114746,394,0.04007580266161502,0.5130208333333334,0.0034336708904885572,0.006821683951728795,0.45688960515713134,3,6,0.03994891100509493,749
17,NGC0986,1256,107761,804,0.05702065603836053,0.6401273885350318,0.007460955262107813,0.01474999312033903,0.6288572891620204,3,6,0.05663286566843323,741
