name,status,report_png,cleaned_fits,raw_segments,kept_segments,masked_fraction,background_level,background_rms,elapsed_seconds,error
NGC0289,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0289_sep_thr3.4_area1_deb0.0009_dil3.png,,3918,3917,0.0553910103500134,-0.004166025202721357,0.022530516609549522,1.5028030000103172,
NGC0298,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0298_sep_thr3.4_area1_deb0.0009_dil3.png,,670,669,0.04313317262035211,-0.0024966918863356113,0.020440232008695602,0.8095092000003206,
NGC0578,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0578_sep_thr3.4_area1_deb0.0009_dil3.png,,1759,1758,0.04837578862437617,-0.005189717747271061,0.026263028383255005,1.1680035000026692,
NGC0600,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0600_sep_thr3.4_area1_deb0.0009_dil3.png,,815,813,0.05045035486076725,-0.003311493434011936,0.01886497624218464,0.8510135999968043,
NGC0672,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0672_sep_thr3.4_area1_deb0.0009_dil3.png,,4429,4428,0.10161344623075717,-0.007260428741574287,0.011274291202425957,1.8017763999960152,
NGC0685,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0685_sep_thr3.4_area1_deb0.0009_dil3.png,,1242,1241,0.072012289573612,-0.003786821849644184,0.01894991844892502,0.8622787999920547,
NGC0701,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0701_sep_thr3.4_area1_deb0.0009_dil3.png,,661,660,0.04201080601402286,-0.0036473253276199102,0.021092290058732033,0.7965297000046121,
NGC0918,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0918_sep_thr3.4_area1_deb0.0009_dil3.png,,844,843,0.062024123633622315,-0.003959710709750652,0.020248936489224434,0.8994521999993594,
NGC0986,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0986_sep_thr3.4_area1_deb0.0009_dil3.png,,3041,3040,0.09774697477430856,-0.0052607255056500435,0.010149486362934113,1.3768146999937017,
NGC0991,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC0991_sep_thr3.4_area1_deb0.0009_dil3.png,,973,971,0.06291958769011406,-0.004097760189324617,0.019228314980864525,0.7747907000011764,
NGC1022,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1022_sep_thr3.4_area1_deb0.0009_dil3.png,,1014,1013,0.0661585377441559,-0.0049532875418663025,0.01954757049679756,0.7801020000042627,
NGC1051,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1051_sep_thr3.4_area1_deb0.0009_dil3.png,,1076,1075,0.06965042239154914,-0.003902654629200697,0.01905941031873226,0.7554413000034401,
NGC1097,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1097_sep_thr3.4_area1_deb0.0009_dil3.png,,5173,5172,0.0974340261162353,-0.005084159318357706,0.011238056235015392,2.437904200007324,
NGC1187,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1187_sep_thr3.4_area1_deb0.0009_dil3.png,,3762,3761,0.07892451236369222,-0.0053053307346999645,0.022325921803712845,1.6464687999978196,
NGC1255,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1255_sep_thr3.4_area1_deb0.0009_dil3.png,,2221,2220,0.06296719048630282,-0.004547636955976486,0.02401110902428627,1.3553592999960529,
NGC1291,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1291_sep_thr3.4_area1_deb0.0009_dil3.png,,5828,5827,0.08214355286151624,-0.0048079420812428,0.012065158225595951,2.497320300011779,
NGC1302,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1302_sep_thr3.4_area1_deb0.0009_dil3.png,,3623,3622,0.07340999846413761,-0.00513444934040308,0.021673327311873436,1.5561222999967868,
NGC1313,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1313_sep_thr3.4_area1_deb0.0009_dil3.png,,12005,12004,0.2692883991776981,-0.005904339253902435,0.008719833567738533,3.777261399998679,
NGC1326A,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1326A_sep_thr3.4_area1_deb0.0009_dil3.png,,959,958,0.03350470743840733,-0.004206093028187752,0.021086005493998528,0.8975079999945592,
NGC1341,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1341_sep_thr3.4_area1_deb0.0009_dil3.png,,1012,1011,0.03535969365261315,-0.004824678413569927,0.020199354737997055,0.929543799997191,
NGC1347,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1347_sep_thr3.4_area1_deb0.0009_dil3.png,,1016,1014,0.06808691097463695,-0.005095034372061491,0.019674869254231453,0.8524803000036627,
NGC1350,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1350_sep_thr3.4_area1_deb0.0009_dil3.png,,2591,2589,0.07145317738180605,-0.005375078413635492,0.024503128603100777,1.6141023999953177,
NGC1367,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1367_sep_thr3.4_area1_deb0.0009_dil3.png,,3375,3374,0.06858582434154382,-0.004085107706487179,0.02176438830792904,1.5831651999906171,
NGC1436,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1436_sep_thr3.4_area1_deb0.0009_dil3.png,,1178,1177,0.07066291381618166,-0.004332109820097685,0.01879061572253704,0.877986499996041,
