evaluation,image,truth_pixels,incremental_pixels,overlap_pixels,masked_fraction,recall,precision,f_score,mean_toy_recall,recovered_toys,toy_count,false_positive_fraction,segments
24,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
24,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
24,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
24,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
24,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
24,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
24,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
25,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
25,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
25,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
25,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
25,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
25,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
25,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
25,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
25,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
26,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
26,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
26,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
26,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
26,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
26,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
26,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
26,NGC3992,1064,92,0,1.8116634102673266e-05,0.0,0.0,0.0,0.0,0,6,1.8120430746274183e-05,2
26,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
27,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
27,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
27,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
27,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
27,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
27,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
27,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
27,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
27,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
28,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
28,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
28,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
28,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
28,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
28,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
28,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
28,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
28,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
29,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
29,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
29,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
29,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
29,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
29,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
29,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
29,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
29,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
