evaluation,status,objective,score,mean_recall,mean_precision,mean_f_score,mean_toy_recall,toy_detection_rate,mean_masked_fraction,max_masked_fraction,max_masked_fraction_limit,masked_fraction_cap_excess,false_positive_fraction,elapsed_seconds,error,trial_number,move_factor,min_distance,gaussian_fwhm,bg_variance,minarea,dilation_radius,max_area,max_elongation,detect_on,alpha,move_factor,min_distance,gaussian_fwhm,bg_variance,minarea,dilation_radius,max_area,max_elongation
21,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.72896550000587,,20,0.42400409907260184,0.2683764018081896,3.813712180370791,7392.456,20,7,2122,12.538078039373897,original,1e-06,0.42400409907260184,0.2683764018081896,3.813712180370791,7392.456,20,7,2122,12.538078039373897
22,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.3703771000000415,,21,0.4566108153326232,0.6750147941412581,4.765658123303198,8931.6217,29,0,120,5.465202461355824,original,1e-06,0.4566108153326232,0.6750147941412581,4.765658123303198,8931.6217,29,0,120,5.465202461355824
23,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.4116453000024194,,22,0.5910644533260029,0.583186480138328,4.248443402030411,9203.096599999999,32,0,298,3.1926742324139887,original,1e-06,0.5910644533260029,0.583186480138328,4.248443402030411,9203.096599999999,32,0,298,3.1926742324139887
24,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.3621915000112494,,23,0.2134332540362635,0.8210210504333337,4.897986969800725,9875.2853,9,1,616,6.424093287000069,original,1e-06,0.2134332540362635,0.8210210504333337,4.897986969800725,9875.2853,9,1,616,6.424093287000069
25,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.656171800001175,,24,0.46733360418361475,0.597546747935633,2.3344606889879973,8521.3992,53,3,753,8.62322595153867,original,1e-06,0.46733360418361475,0.597546747935633,2.3344606889879973,8521.3992,53,3,753,8.62322595153867
26,ok,5.032609286498181e-06,-5.032609286498181e-06,0.0,0.0,0.0,0.0,0.0,2.012959344741474e-06,1.8116634102673266e-05,0.15,0.0,2.0133811940304646e-06,2.669429700006731,,25,0.7550067572981781,0.45314596379757494,1.5971889661345298,9251.4189,22,1,290,5.075598272405905,original,1e-06,0.7550067572981781,0.45314596379757494,1.5971889661345298,9251.4189,22,1,290,5.075598272405905
27,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.4974403999949573,,26,0.8523971129909786,0.04387101500990487,3.3383950540196152,8090.2838,36,4,981,2.8871119643267336,original,1e-06,0.8523971129909786,0.04387101500990487,3.3383950540196152,8090.2838,36,4,981,2.8871119643267336
28,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.5550881999952253,,27,0.3761525627388185,0.8847167229937118,4.0333644424942605,7286.9426,50,2,419,18.210086386218624,original,1e-06,0.3761525627388185,0.8847167229937118,4.0333644424942605,7286.9426,50,2,419,18.210086386218624
29,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,3.069851899999776,,28,0.6037725947842558,0.10483458937546852,0.8406251304800594,9393.4637,62,8,22,6.880840175488586,original,1e-06,0.6037725947842558,0.10483458937546852,0.8406251304800594,9393.4637,62,8,22,6.880840175488586
30,ok,1.9802223496873275e-05,-1.9802223496873275e-05,0.0,0.0,0.0,0.0,0.0,7.920557421700148e-06,7.128501679530133e-05,0.15,0.0,7.92221730694596e-06,2.8317580000002636,,29,0.868352699068156,0.8633252818790068,1.7611081588570396,8443.0965,7,5,1469,9.427029168055718,original,1e-06,0.868352699068156,0.8633252818790068,1.7611081588570396,8443.0965,7,5,1469,9.427029168055718
31,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.4839439000061247,,30,0.9281945505346629,0.7333371904547277,2.473579459534739,8769.4216,72,0,1826,14.705768540022486,original,1e-06,0.9281945505346629,0.7333371904547277,2.473579459534739,8769.4216,72,0,1826,14.705768540022486
32,ok,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.6561806999961846,,31,0.0287048377734066,0.9982947488200334,0.04005394215933055,6094.6638,78,1,1273,10.726425748190684,original,1e-06,0.0287048377734066,0.9982947488200334,0.04005394215933055,6094.6638,78,1,1273,10.726425748190684
