rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
160,NGC7496,ok,152.16843452032134,151.87734009056786,41,546,0.011643777190139043,0.012354715326806227,150.39999389648438,87.73332977294922,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7496.phot.1.fits,
161,NGC7418,ok,154.94106059252445,154.43877600780039,42,620,0.0200913833889627,0.013846430491890483,122.0,71.16666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7418.phot.1.fits,
162,NGC4314,ok,157.70076739940396,157.4983320873796,42,532,0.008097412480974125,0.009936334770629671,178.0453886170892,103.85981002663536,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4314.phot.1.fits,
163,NGC4204,ok,169.7450882993936,169.55316584382007,47,594,0.007676898222940226,0.01053393204772499,193.1999969482422,112.69999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4204.phot.1.fits,
164,NGC1187,ok,179.56448861301274,179.23091736853922,50,673,0.013342849778940898,0.012284378141224416,156.0,91.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1187.phot.1.fits,
165,NGC3673,ok,189.20274271459542,188.96558370746837,38,579,0.00948636028508233,0.010814649771399315,171.60000610351562,100.10000356038412,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3673.phot.1.fits,
166,NGC1512,ok,202.59987460824374,202.3174242927491,55,718,0.011298012619785684,0.007668174137601356,175.10249705400932,102.14312328150544,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1512.phot.1.fits,
167,NGC7582,ok,204.20093959131805,203.97384022234226,51,786,0.009083974759031967,0.010960270241267197,204.39999389648438,119.23332977294922,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7582.phot.1.fits,
168,NGC0210,ok,213.1025425607074,212.89817179468344,54,753,0.008174830640958832,0.01076476422141713,210.8000030517578,122.96666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0210.phot.1.fits,
169,NGC1350,ok,243.60282024944277,243.40903421484956,65,847,0.007751441383728379,0.011174015930487351,229.60000610351562,133.93333689371747,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1350.phot.1.fits,
170,NGC4293,ok,250.0378706061959,249.75605541382495,60,857,0.011272607694837225,0.006209714160624833,191.53367591702698,111.72797761826574,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4293.phot.1.fits,
171,NGC4535,ok,252.70248215214215,252.16454391107757,68,1009,0.021517529642582956,0.0173602673200654,150.39999389648438,87.73332977294922,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4535.phot.1.fits,
172,NGC3992,ok,275.042059457815,274.7839792634043,73,1062,0.010323207776427704,0.01190858611314463,222.8000030517578,129.9666684468587,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3992.phot.1.fits,
173,NGC0986,ok,277.25088704986234,276.054211269799,51,1103,0.04786703120253439,0.007840757923208519,105.45388252678636,61.51476480729204,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0986.phot.1.fits,
174,NGC3319,ok,291.54694205889433,291.01918752069173,74,1085,0.021110181528104753,0.005496617453599961,157.44509154418546,91.84297006744153,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3319.phot.1.fits,
175,NGC3627,ok,315.89619090498445,315.29942580846495,69,1312,0.02387060386077907,0.016951352366659865,162.84041769042955,94.99024365275056,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3627.phot.1.fits,
176,NGC1291,ok,374.88868729393715,374.6044637188758,105,1339,0.01136894300245379,0.01111819936185767,238.3748153438122,139.0519756172238,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1291.phot.1.fits,
177,NGC2903,ok,450.3170179133031,449.47642015489714,90,1944,0.033623910336239106,0.01981644782776681,167.00951718986735,97.42221836075595,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2903.phot.1.fits,
178,NGC1097,ok,561.0565411861596,560.5304642945069,138,2318,0.021043075666106848,0.009685419973043185,230.52709203530043,134.4741370205919,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1097.phot.1.fits,
179,NGC1672,ok,579.1878295983087,578.3508002914124,118,2310,0.033481172275850075,0.009611398205745721,182.45974467215723,106.43485105875838,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1672.phot.1.fits,
180,NGC4725,ok,597.7538128163451,597.4646200757162,161,2192,0.011567709625157657,0.008349437456739689,302.3828845900574,176.39001601086684,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4725.phot.1.fits,
181,NGC1808,ok,1007.4048096562112,1006.976061487101,239,3618,0.017149926764408924,0.007513945313868343,335.4904988717229,195.70279100850502,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1808.phot.1.fits,
182,NGC5236,ok,1677.2819473601953,1676.9325002849514,396,6119,0.013977883009756421,0.022734141855053184,459.6000061035156,268.10000356038415,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5236.phot.1.fits,
