rank,name,catalogue,candidate_rank,x,y,score,peak
29,NGC1808,weak_Gaia,28,1032.2165403136678,401.1122696163123,0.23590106268510835,729.1035838046014
29,NGC1808,weak_Gaia,29,1141.5535603173112,496.9736640297018,0.22890366221452677,66.44865079048658
29,NGC1808,weak_Gaia,30,833.9889761445487,54.008892365229585,0.22112819237488737,1006.2269807041
29,NGC1808,weak_Gaia,31,638.744616489157,419.95128535264473,0.21820218210218223,61.71481651947809
29,NGC1808,weak_Gaia,32,1203.0042213134693,373.41468804776616,0.2171499758902213,27.87220243401971
29,NGC1808,weak_Gaia,33,1137.3216290074215,310.4493122488884,0.2085320739993202,51.53532617993066
29,NGC1808,weak_Gaia,34,868.6941335098645,99.37277248816487,0.20312439510911406,48.39370475565945
29,NGC1808,weak_Gaia,35,753.3433670636198,181.75115666047756,0.19246563844160738,55.469551568786315
29,NGC1808,weak_Gaia,36,1192.5303566987982,308.1175169569402,0.1633461409851631,29.718536630897
29,NGC1808,weak_Gaia,37,781.861863325203,168.73294272801326,0.14908134168502396,19.048877504956945
29,NGC1808,weak_Gaia,38,892.7636474154252,244.95020853595315,0.10753612717942382,55.65609048977232
29,NGC1808,weak_Gaia,39,1193.9738724194194,256.02509477568856,0.1040429070133373,10.122423127809496
29,NGC1808,weak_Gaia,40,755.3178604398296,170.69169652829575,0.10393370029898735,71.18799153904567
29,NGC1808,weak_Gaia,41,899.012589594808,245.7473719837333,0.08303770250943221,317.3800541565604
29,NGC1808,weak_Gaia,42,1142.9723067319642,357.4534400825466,0.08115582131889779,38.87615649561365
29,NGC1808,weak_Gaia,43,985.4741968644877,98.9548495870031,0.07318507809712421,21.230416802755144
29,NGC1808,weak_Gaia,44,669.638310819606,338.3336969016151,0.06145039107418291,47.015573977546595
29,NGC1808,weak_Gaia,45,1167.5832924837214,422.42773412961026,0.046566992058359326,10.224121835192737
29,NGC1808,weak_Gaia,46,648.5516525736558,126.48935956210244,0.03088949921086985,11.51347115373843
29,NGC1808,weak_Gaia,47,989.0183459263571,103.28089055171735,0.02656307913650338,93.2105540864555
29,NGC1808,weak_Gaia,48,998.3558428787495,131.74274537643433,0.01941630463503968,14.600599788533225
29,NGC1808,weak_Gaia,49,1029.5512166010938,283.183418729402,0.004291148566821533,25.720734941386603
30,NGC5236,2MASS,1,1189.2190818896008,1614.6799071571,2.631155883434471,4708.344081300318
30,NGC5236,2MASS,2,1145.979292581844,1635.4007887062576,1.6558701882896214,926.3972628832247
30,NGC5236,2MASS,3,1238.4154268203654,1816.2570344596063,1.6145865324581972,670.0096415835746
30,NGC5236,2MASS,4,1100.1498666815446,1665.9208342710783,1.4228418505884286,351.9844383987227
30,NGC5236,2MASS,5,1657.180385937796,1385.2732020372425,1.4075348778847623,112.5281232005202
30,NGC5236,2MASS,6,1462.1733645516572,1387.0527451443081,1.3849020138221477,596.5419247208105
30,NGC5236,2MASS,7,1189.0462936672607,1385.5149322974592,1.3828455542790679,317.0550267753563
30,NGC5236,2MASS,8,1145.9972782550062,1842.1760669025257,1.3079293599352373,102.01092045515159
30,NGC5236,2MASS,9,1108.0881913722578,1820.3865762445848,1.2522978424188524,69.10239169411842
30,NGC5236,2MASS,10,1266.0859945550076,1625.6228784621605,1.0776691042349094,329.6427594838251
30,NGC5236,2MASS,11,1201.6358496734615,1682.6578013079534,1.0485961691799364,254.52632443325223
30,NGC5236,2MASS,12,1416.8616490563184,1849.078241382846,0.8760764540399155,178.34218462193854
30,NGC5236,2MASS,13,1205.821043080699,1323.681915633577,0.8443619941159466,42.979948119921644
30,NGC5236,2MASS,14,1078.5428324850268,1709.1085209369762,0.8137590617320207,43.923429362896854
30,NGC5236,2MASS,15,1083.5415852559274,1728.975979430287,0.7750050804410804,43.80310762544368
30,NGC5236,2MASS,16,1359.5219860472448,1710.1892744955808,0.7033989537687443,164.56211491766052
30,NGC5236,2MASS,17,1287.0988187224814,1299.1931898651906,0.6684722737379579,27.213613749307676
30,NGC5236,2MASS,18,1366.6231920836306,1280.2212045960955,0.6024249045280682,15.883901757792232
30,NGC5236,2MASS,19,1444.8121931064816,1427.593206817606,0.5926860605865614,123.55034478892736
30,NGC5236,2MASS,20,1395.223343737601,1419.8938485895399,0.5868392241240987,100.70264747826302
30,NGC5236,2MASS,21,1210.2098943361166,1670.3016858650403,0.5854591694234447,117.1796199672119
30,NGC5236,2MASS,22,1477.3461501997767,1827.880621032823,0.551920810309865,105.37093768417559
30,NGC5236,2MASS,23,1576.1408893573325,1435.3110746197196,0.5263137091977335,109.4692141398565
30,NGC5236,2MASS,24,1436.7498453387964,1355.803673791154,0.5069077571451113,231.42105148184922
30,NGC5236,2MASS,25,1470.674921100984,1309.411402715419,0.47903891659289594,27.794625593676844
30,NGC5236,2MASS,26,1537.3376562270785,1499.4447935067315,0.4734253414027274,109.42510846664845
30,NGC5236,2MASS,27,1350.7481048112684,1655.306979264071,0.4648426695029748,88.16506386476506
30,NGC5236,2MASS,28,1454.4617141107287,1886.5282038649395,0.45594405025374274,11.35489992946827
30,NGC5236,2MASS,29,1401.368172467434,1398.9529357913405,0.44544611049823357,101.31980063584366
30,NGC5236,2MASS,30,1543.2567697400646,1442.1170246513302,0.43137875396976016,83.29355059200043
30,NGC5236,2MASS,31,1600.1607428498235,1758.3666336377385,0.42578566508702376,53.21446963691313
30,NGC5236,2MASS,32,1525.0864789565783,1403.8009141822401,0.4177107438044719,105.68830872880537
30,NGC5236,2MASS,33,1293.291455939841,1416.7501804057013,0.3938711124291469,63.620486957753
30,NGC5236,2MASS,34,1546.3293462441231,1486.777831007858,0.38548069776614774,77.8748268482844
30,NGC5236,2MASS,35,1266.7343404731307,1764.9508616049943,0.38296875349779413,92.71707746775456
30,NGC5236,2MASS,36,1422.367990127356,1632.5518607815382,0.3771835827167138,79.80725341845479
30,NGC5236,2MASS,37,1498.378044429597,1422.2225394001505,0.36985910606714173,75.46396970653193
30,NGC5236,2MASS,38,1324.8551029178136,1730.3012568688591,0.3679233167518692,346.62762437547747
30,NGC5236,2MASS,39,1338.1302113042334,1433.9248477662468,0.3678402637388377,83.70843692551492
30,NGC5236,2MASS,40,1373.6867254988715,1752.115752310318,0.35307216032518157,73.42213442522943
30,NGC5236,2MASS,41,1231.8347910329348,1836.94039727277,0.3318691301059128,42.79827766411781
30,NGC5236,2MASS,42,1563.6078599592365,1575.3399234271328,0.3255066762999907,303.7901759000718
30,NGC5236,2MASS,43,1714.2038806731325,1483.4236916359137,0.32537658299768857,11.948786437155656
30,NGC5236,2MASS,44,1680.6452867252483,1490.401215291106,0.32293375094737653,12.452576080447347
30,NGC5236,2MASS,45,1676.0351348674421,1557.268625989492,0.32069158563909267,26.65522588695107
30,NGC5236,2MASS,46,1312.3843999153135,1761.3099204113057,0.32056885618798414,60.26508391774164
30,NGC5236,2MASS,47,1096.724289588765,1482.2482589909296,0.32018237746516315,29.869200700228962
