name,status,png,raw_segments,kept_segments,masked_fraction,background_level,background_rms,error
NGC4525,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4525_sep_thr2.2_area15_deb0.0005_dil5.png,301,300,0.0361056363537831,0.06013326719403267,0.020991068333387375,
NGC4532,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4532_sep_thr2.2_area15_deb0.0005_dil5.png,702,700,0.11821359681927332,0.055549342185258865,0.015426073223352432,
NGC4535,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4535_sep_thr2.2_area15_deb0.0005_dil5.png,2246,2245,0.0802780360835467,0.06776116043329239,0.02171511948108673,
NGC4540,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4540_sep_thr2.2_area15_deb0.0005_dil5.png,324,323,0.04326533966535261,0.07009854167699814,0.02158593200147152,
NGC4559,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4559_sep_thr2.2_area15_deb0.0005_dil5.png,1998,1997,0.10799681990138035,0.0156964473426342,0.012266792356967926,
NGC4579,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4579_sep_thr2.2_area15_deb0.0005_dil5.png,1013,1012,0.10992662349534968,0.03907109797000885,0.01405926514416933,
NGC4618,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4618_sep_thr2.2_area15_deb0.0005_dil5.png,491,490,0.08502090476642227,0.008589459583163261,0.01527252234518528,
NGC4625,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4625_sep_thr2.2_area15_deb0.0005_dil5.png,413,412,0.09248178561365375,0.004678882192820311,0.011745424009859562,
NGC4639,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4639_sep_thr2.2_area15_deb0.0005_dil5.png,509,508,0.13714311337736296,0.04468344897031784,0.01225844956934452,
NGC4654,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4654_sep_thr2.2_area15_deb0.0005_dil5.png,507,506,0.11276285238672713,0.042566388845443726,0.016928741708397865,
NGC4668,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4668_sep_thr2.2_area15_deb0.0005_dil5.png,313,312,0.040667671936389684,0.08949748426675797,0.020877299830317497,
NGC4713,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4713_sep_thr2.2_area15_deb0.0005_dil5.png,469,468,0.10385514380359741,0.146272674202919,0.018353953957557678,
NGC4725,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4725_sep_thr2.2_area15_deb0.0005_dil5.png,1547,1546,0.09320534512965119,0.014997167512774467,0.01380237378180027,
NGC4765,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4765_sep_thr2.2_area15_deb0.0005_dil5.png,293,292,0.046603767670751965,0.05700382590293884,0.03164516016840935,
NGC4781,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4781_sep_thr2.2_area15_deb0.0005_dil5.png,889,888,0.06641165639003334,0.058557845652103424,0.02566276490688324,
NGC4900,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC4900_sep_thr2.2_area15_deb0.0005_dil5.png,271,270,0.07330149576500271,0.09051202237606049,0.021350417286157608,
