name,status,report_png,cleaned_fits,raw_segments,kept_segments,masked_fraction,background_level,background_rms,elapsed_seconds,error
NGC2681,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC2681_sep_thr2.2_area15_deb0.0005_dil5.png,,782,781,0.10865194162803396,0.010683158412575722,0.015474059619009495,0.9436184000005596,
NGC2903,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC2903_sep_thr2.2_area15_deb0.0005_dil5.png,,3459,3456,0.16518687057631057,0.0752481147646904,0.010331333614885807,4.3541249000045354,
NGC2968,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC2968_sep_thr2.2_area15_deb0.0005_dil5.png,,984,982,0.0854693023926274,0.0700325295329094,0.015891674906015396,1.7125643999970634,
NGC3185,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3185_sep_thr2.2_area15_deb0.0005_dil5.png,,556,555,0.08180913342680095,0.07495645433664322,0.02081635594367981,0.9028853999989224,
NGC3227,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3227_sep_thr2.2_area15_deb0.0005_dil5.png,,247,245,0.04713805862574272,0.1181848868727684,0.03376828506588936,1.1803989999971236,
NGC3264,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3264_sep_thr2.2_area15_deb0.0005_dil5.png,,325,324,0.03905475186943672,0.03362156078219414,0.021725695580244064,0.9704067999991821,
NGC3287,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3287_sep_thr2.2_area15_deb0.0005_dil5.png,,381,380,0.05129141880734237,0.09859609603881836,0.022170916199684143,1.2388393000001088,
NGC3319,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3319_sep_thr2.2_area15_deb0.0005_dil5.png,,1014,1013,0.2357484776821926,0.017726046964526176,0.006785430945456028,1.4829527999972925,
NGC3344,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3344_sep_thr2.2_area15_deb0.0005_dil5.png,,553,552,0.11907328145490279,0.026279490441083908,0.017797797918319702,0.9335616000025766,
NGC3359,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3359_sep_thr2.2_area15_deb0.0005_dil5.png,,815,815,0.05813940027195116,0.04053106904029846,0.021703500300645828,1.6674536999998963,
NGC3380,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3380_sep_thr2.2_area15_deb0.0005_dil5.png,,288,287,0.06472807021535074,0.08649041503667831,0.020225511863827705,0.8104764000017894,
NGC3447,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3447_sep_thr2.2_area15_deb0.0005_dil5.png,,328,327,0.07913478509783613,0.07126440107822418,0.02026275172829628,0.7887181000041892,
NGC3485,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3485_sep_thr2.2_area15_deb0.0005_dil5.png,,338,337,0.08590269029919155,0.10458032041788101,0.020725306123495102,0.8122666999988724,
NGC3486,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3486_sep_thr2.2_area15_deb0.0005_dil5.png,,956,955,0.18303765950824774,0.06821496784687042,0.008306775242090225,1.1127772000036202,
NGC3504,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3504_sep_thr2.2_area15_deb0.0005_dil5.png,,1127,1126,0.12069150459527715,0.05434643477201462,0.011049044318497181,1.263020600003074,
NGC3627,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3627_sep_thr2.2_area15_deb0.0005_dil5.png,,1438,1433,0.10520273903382331,0.05872885137796402,0.012773379683494568,1.9812182000023313,
NGC3673,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3673_sep_thr2.2_area15_deb0.0005_dil5.png,,1604,1602,0.09643712678195437,0.031076906248927116,0.023083318024873734,2.1537619000009727,
NGC3681,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3681_sep_thr2.2_area15_deb0.0005_dil5.png,,267,266,0.06598247211263461,0.1179061308503151,0.01978381723165512,0.8490964000011445,
NGC3684,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC3684_sep_thr2.2_area15_deb0.0005_dil5.png,,372,371,0.05282171895350454,0.14170360565185547,0.021369049325585365,1.1341078999976162,
